pleiades_id,en,zh,source,note
# 中文译名对照表 / Chinese place-name table
#
# 用法：每行一个地点。pleiades_id 为准，en 仅供人工核对。
#   pleiades_id  Pleiades 地名 id（地图以此为准，必填）
#   en           英文/拉丁转写（人工核对用，程序不依赖）
#   zh           中文译名（可用 / 分隔多个异译，第一个为首选）
#   source       译名来源，例如：徐松岩《历史》索引 / 徐松岩《伯罗奔尼撒战争史》 /
#                徐松岩《希腊史》 / 通用 / 待核
#   note         备注，可留空
#
# 以 # 开头的行会被忽略。source 留空或标「待核」的条目会在运行时提示。
#
# 内容：Pleiades id 与中文地名的对照。译名取自徐松岩译本索引（事实性对应），
# 不包含译本正文或注释文字。Wikidata 行为 CC0。
579885,Athenae,雅典,徐松岩《希腊史》索引,
550597,Ionia (region),伊奥尼亚,徐松岩《历史》2018修订本索引,
570685,Sparta,斯巴达,徐松岩《希腊史》索引,
579844,Aegina (island),埃吉那,徐松岩《历史》2018修订本索引,岛屿、城邦，在萨罗尼克湾
570106,Argos,阿尔戈斯,徐松岩《历史》2018修订本索引,城市 阿尔戈斯的妇女
541138,Thebai/Thebae,底比斯,徐松岩《希腊史》索引,
491656,Macedonia (region),马其顿,徐松岩《历史》2018修订本索引,马其顿的山 马
550406,Aeolis,埃奥利斯,徐松岩《历史》2018修订本索引,
570102,Arcadia,阿卡底亚,徐松岩《历史》2018修订本索引,南希腊一地区 202
540775,Euboea (island),优波亚,徐松岩《历史》2018修订本索引,
550696,Lesbos (island),列斯堡,徐松岩《历史》2018修订本索引,岛屿
570182,Corinthus/Korinthos,科林斯,徐松岩《历史》2018修订本索引,城邦 科林
570468,Megara,麦加拉,徐松岩《历史》2018修订本索引,多利斯的城邦，毗邻阿提卡
570028,Achaea/Achaia (region),阿凯亚,徐松岩《历史》2018修订本索引,伯罗奔尼撒的阿凯亚
501325,Abydos,阿比多斯,徐松岩《历史》2018修订本索引,在赫勒斯滂
501323,Abdera,阿布德拉,徐松岩《历史》2018修订本索引,在色雷斯
589693,Andros (island),安德罗斯,徐松岩《历史》2018修订本索引,在爱琴海
501339,Akanthos,阿塔苏斯,徐松岩《历史》2018修订本索引,在卡尔基狄克
589703,Apollonia?,阿波罗尼亚,徐松岩《历史》2018修订本索引,（1）城镇，在攸克星海（黑海）沿岸
520985,Byzantium,拜占庭,徐松岩《希腊史》索引,
511357,Perinthus/Heraclea,佩林苏斯,徐松岩《希腊史》索引,
570531,Olympia,奥林匹亚,徐松岩《历史》2018修订本索引,
511218,Cyzicus,库济科斯,徐松岩《希腊史》索引,
511378,Proconnesus (settlement),普洛康涅苏斯,徐松岩《历史》2018修订本索引,城镇，在普洛彭提斯 普洛康涅苏斯人，阿里斯提亚斯
903021,Ecbatana/Hagmatana/Achmeta/Epiphaneia/Ahmadan,埃克巴塔纳,徐松岩《历史》2018修订本索引,参见阿格巴塔纳Agbatana（1）
570221,Elis (region),爱利斯,徐松岩《历史》2018修订本索引,
707462,Amathous,阿玛苏斯,徐松岩《历史》2018修订本索引,在塞浦路斯
501458,Kardia/Lysimacheia,卡狄亚,徐松岩《希腊史》索引,赫勒斯滂
540582,Abai,阿拜,徐松岩《历史》2018修订本索引,在佛基斯
540591,Aetolia,埃陀利亚,徐松岩《历史》2018修订本索引,
540624,Alpenos,阿尔佩努斯,徐松岩《历史》2018修订本索引,在德摩比利希腊军队身后
530767,Acarnania,阿卡纳尼亚,徐松岩《历史》2018修订本索引,在西北希腊
491678,Olynthos,奥林苏斯,徐松岩《历史》2018修订本索引,城市，在卡尔基狄克半岛
550433,Antandros,安坦德鲁斯,徐松岩《历史》2018修订本索引,特洛亚斯（Troas）一城市
491561,Chalcidice,卡尔基狄克,徐松岩《希腊史》索引,
844848,Acheron/Soonautes (river),阿凯隆,徐松岩《历史》2018修订本索引,在西北希腊
501337,Ainos,埃努斯,徐松岩《历史》2018修订本索引,埃奥利斯人的城镇，在色雷斯，赫布鲁斯河口
599479,Alabanda/Antiocheia Chrysaoron,阿拉班达,徐松岩《历史》2018修订本索引,卡里亚的一个城市
589686,Ampelos,安佩鲁斯,徐松岩《历史》2018修订本索引,在卡尔基狄克的托伦涅附近
540630,Amphissa,安菲萨,徐松岩《历史》2018修订本索引,洛克里人的城镇
550404,Aegae,埃盖,徐松岩《历史》2018修订本索引,在阿尔戈利斯
491525,Aphytis,阿斐提斯,徐松岩《希腊史》索引,帕勒涅半岛
501335,Aige,埃伽,徐松岩《历史》2018修订本索引,在帕勒涅
579850,Aigaleos,埃加列奥斯,徐松岩《历史》2018修订本索引,在阿提卡
570043,Aigeira,埃杰拉,徐松岩《历史》2018修订本索引,阿凯亚一城邦
570049,Aigion,埃吉昂,徐松岩《历史》2018修订本索引,在阿尔戈利斯
501338,Ainyra,埃尼拉,徐松岩《历史》2018修订本索引,在塔索斯
501332,Agora,阿哥拉,徐松岩《历史》2018修订本索引,在色雷斯的科尔松尼斯
638743,Anaua/Sanaos,安那瓦,徐松岩《历史》2018修订本索引,在弗里吉亚
922698,Persis/Pars,波斯,徐松岩《历史》2018修订本索引,波
736963,Memphis,孟菲斯,徐松岩《历史》2018修订本索引,城市，在埃及
1273,Scythia,斯基泰亚,徐松岩《历史》2018修订本索引,
599926,Samos (island),萨摩斯,徐松岩《历史》2018修订本索引,
550867, Sardis/Hyde?,萨迪斯,徐松岩《历史》2018修订本索引,
550701,Lydia/Maionia (region),吕底亚,徐松岩《历史》2018修订本索引,
540726,Delphi,德尔斐/德尔菲,Wikidata,Q75459 · 96 mention(s)
