pleiades_id,en,zh,source,note
922698,Persis/Pars,佩里斯/波希斯,Wikidata,Q3746183 · 762 mention(s)
736963,Memphis,孟菲斯/孟斐斯,Wikidata,Q5715 · 592 mention(s)
1273,Scythia,斯基提亞,Wikidata,Q845909 · 296 mention(s)
599926,Samos (island),萨摩斯岛,Wikidata,Q156882 · 153 mention(s)
550867, Sardis/Hyde?,萨第斯/萨迪斯,Wikidata,Q232615 · 122 mention(s)
550701,Lydia/Maionia (region),吕底亚,Wikidata,Q620765 · 122 mention(s)
540726,Delphi,德尔斐/德尔菲,Wikidata,Q75459 · 96 mention(s)
893951,Babylon,巴比倫/巴比伦,Wikidata,Q5684 · 77 mention(s)
599799,Miletus,米利都/弥勒托斯城,Wikidata,Q169460 · 76 mention(s)
580101,Salamis (island),萨拉米斯岛,Wikidata,Q202422 · 71 mention(s)
373778,Cyrene,昔兰尼/古利奈,Wikidata,Q44112 · 60 mention(s)
541063,Plataea,普拉塔亚/普拉提亚,Wikidata,Q742538 · 60 mention(s)
29475,Arabia (region),阿拉伯半岛,Wikidata,Q31945 · 59 mention(s)
599564,Caria (region),卡里亚/加里亚,Wikidata,Q193214 · 57 mention(s)
540689,Boeotia,维奥蒂亚/玻俄提亚,Wikidata,Q187570 · 53 mention(s)
570577,Peloponnesus/Peloponnesos/Peloponnese,伯罗奔尼撒/伯罗奔尼撒半岛,Wikidata,Q78967 · 52 mention(s)
501638,Thracia,色雷斯/色雷西亚,Wikidata,Q41741 · 50 mention(s)
579888,Attica,阿提卡/阿提刻,Wikidata,Q122443 · 49 mention(s)
550497,Chios (island),希俄斯岛/基俄斯,Wikidata,Q160483 · 46 mention(s)
570707,Tegea,泰耶阿,Wikidata,Q645234 · 45 mention(s)
491680,Paionia,培奥尼亚,Wikidata,Q249561 · 42 mention(s)
1306,Syria,沙姆地区/泛叙利亚主义,Wikidata,Q13415123 · 41 mention(s)
707498,Cyprus (island),塞浦路斯島,Wikidata,Q644636 · 39 mention(s)
912936,Susa/Seleucia ad Eulaeum,苏萨/شوش,Wikidata,Q180773 · 39 mention(s)
540667,Artemision,阿提密西安海戰,Wikidata,Q1728291 · 37 mention(s)
